Simulation run,Robot count,Picker count,Robot/Picker ratio,Total assist time (sec),Picker assist time(%),Picker move time (sec),Picker move time (%),Picker distance traveled (m),Picker wait time (sec),Picker wait time (%),Robot total operation  time (sec),Robot assist time (%),Robot move time (sec),Robot move time (%),Robot distance traveled (m),Robot wait time (sec),Robot wait time (%),Robot total time queuing (sec),Robot time queuing percentage,Robot total time waiting in traffic (sec),Robot total time waiting in traffic (perc),Robot get pallet time (sec),Robot drop pallet time (sec),Robot get/drop pallet time percentage,Robot Time spent waiting for locations to open (sec),Robot Time spent waiting for locations to open (perc),Orders handled,Simulation duration,Realtime duration,Robot price,Robot price (full day),Picker price,Total Price,Savings percentage,Throughput factor,,Robot price/day,Picker price/day(24h),Current number of pickers/per day,Estimated current price ,current duration
47,35,19,1.842105263,137960,19.13%,261152.1236,36.21%,327447.6564,322183.9335,44.67%,1323261.088,10.43%,842979.4731,64.46%,586124.6266,230099.1982,17.39%,35445.71829,4.16%,26211.63578,3.07%,51097.21051,51115.17432,7.72%,10010.0317,1.17%,936,10:40:39,00:17:58,7785.68,17500.00,8875.67,16661.35,20.66,2.25,,,,,,
48,35,20,1.75,137960,18.52%,268296.6057,36.02%,337390.1234,338571.5846,45.46%,1297505.991,10.63%,836997.0342,65.05%,582030.7026,213323.3464,16.44%,36075.87148,4.27%,26943.69209,3.19%,51096.17268,51120.86375,7.88%,7008.574155,0.83%,936,10:28:05,00:18:18,7632.96,17500.00,9159.55,16792.51,20.04,2.29,,,,,,
49,35,25,1.4,137960,15.76%,309358.7989,35.34%,395508.8856,428142.9243,48.90%,1218042.394,11.33%,838028.9979,69.32%,577508.1976,133558.2263,10.96%,38256.55513,4.53%,28881.29057,3.42%,51096.35932,51101.53807,8.39%,6297.272124,0.75%,936,09:49:39,00:19:13,7165.89,17500.00,10748.83,17914.71,14.69,2.44,,,,,,
50,40,5,8,137960,38.21%,146323.9977,40.53%,172040.9341,76735.64203,21.26%,2944827.154,4.68%,819686.2184,29.25%,588792.6869,1843017.654,62.58%,26059.57202,3.02%,16297.75231,1.89%,51180.85761,51167.22752,3.48%,41815.19564,4.85%,936,20:39:23,00:16:36,17213.66,20000.00,4518.59,21732.24,-3.49,1.16,,,,,,
51,40,10,4,137960,30.88%,175889.1288,39.37%,210661.2673,132875.5265,29.74%,1798672.441,7.67%,862767.3608,48.68%,610225.1505,682864.2556,37.96%,33154.75354,3.79%,22947.67486,2.62%,51142.16914,51137.58587,5.69%,12801.06949,1.46%,936,12:39:57,00:17:01,10554.86,20000.00,5541.30,16096.16,23.35,1.89,,,,,,
52,40,15,2.666666667,137960,24.95%,214123.0527,38.72%,261671.2571,200939.921,36.33%,1474378.06,9.36%,868150.7159,59.59%,600120.9971,355671.7186,24.12%,39299.33832,4.47%,27302.68985,3.11%,51107.72933,51113.84951,6.93%,10374.04675,1.18%,936,10:23:35,00:17:46,8660.88,20000.00,6820.44,15481.32,26.28,2.31,,,,,,
53,40,17,2.352941176,137960,22.45%,229690.5505,37.38%,283895.4231,246863.2525,40.17%,1442823.035,9.56%,872645.3058,61.32%,599888.5502,317985.6782,22.04%,41371.28025,4.68%,29905.74425,3.38%,51099.42137,51109.72516,7.08%,12022.90464,1.36%,936,10:10:25,00:18:19,8478.01,20000.00,7566.62,16044.63,23.60,2.36,,,,,,
54,40,19,2.105263158,137960,20.70%,247182.4372,37.10%,307503.2705,281190.9512,42.20%,1398813.574,9.86%,880120.8746,63.84%,607398.5814,265606.5628,18.99%,39590.13645,4.43%,28885.33317,3.23%,51097.43586,51102.97641,7.31%,12925.7243,1.45%,936,09:51:40,00:18:29,8217.59,20000.00,8197.05,16414.64,21.84,2.43,,,,,,
55,40,20,2,137960,19.89%,252460.9625,36.39%,314017.4597,303264.4852,43.72%,1382454.71,9.98%,891130.5932,65.24%,610516.5458,240399.1045,17.39%,42912.0859,4.76%,30585.56437,3.39%,51091.95289,51097.33271,7.39%,10775.72631,1.19%,936,09:44:55,00:18:47,8123.84,20000.00,8530.03,16653.88,20.70,2.46,,,,,,
56,40,25,1.6,137960,16.46%,287842.2739,34.35%,363977.2902,412262.4276,49.19%,1333369.109,10.35%,897850.8065,68.87%,610425.5903,174871.1602,13.11%,43650.667,4.75%,31926.03714,3.48%,51092.50244,51096.93325,7.66%,20497.70658,2.23%,936,09:24:06,00:19:18,7834.72,20000.00,10283.07,18117.80,13.72,2.55,,,,,,
57,45,5,9,137960,39.49%,139012.0915,39.79%,161679.1737,72409.13435,20.72%,3207289.343,4.30%,883353.0688,29.45%,629212.2763,2022566.73,63.06%,28691.72502,3.04%,22483.49863,2.38%,51155.40229,51182.0934,3.19%,61072.04852,6.47%,936,19:59:28,00:16:48,18741.67,22500.00,4373.06,23114.72,-10.07,1.20,,,,,,
58,45,10,4.5,137960,31.77%,169088.4237,38.93%,200289.2103,127247.788,29.30%,1968622.802,7.01%,896054.6131,46.58%,627626.3418,811477.3897,41.22%,36941.5421,4.03%,24708.2987,2.69%,51117.85166,51130.30568,5.19%,20882.64187,2.28%,936,12:18:33,00:17:15,11539.84,22500.00,5385.26,16925.10,19.40,1.95,,,,,,
59,45,15,3,137960,25.43%,204503.5032,37.70%,247985.2729,200020.3686,36.87%,1627073.345,8.48%,915107.5928,57.10%,624894.3923,457833.4366,28.14%,45335.83873,4.88%,30635.02476,3.30%,51110.63619,51105.29331,6.28%,13956.38591,1.50%,936,10:11:07,00:18:14,9548.70,22500.00,6684.09,16232.79,22.70,2.36,,,,,,
60,45,17,2.647058824,137960,23.49%,221771.4604,37.76%,271965.696,227509.7018,38.74%,1553102.976,8.88%,919390.313,60.94%,626781.4653,366561.2317,23.60%,48146.29066,5.09%,30964.87494,3.27%,51089.34229,51107.51047,6.58%,26994.57897,2.85%,936,09:43:13,00:18:16,9112.76,22500.00,7229.46,16342.22,22.18,2.47,,,,,,
61,45,19,2.368421053,137960,22.46%,228662.1682,37.22%,280585.8607,247726.9762,40.32%,1452043.535,9.50%,924887.189,64.62%,626538.0833,273521.0905,18.84%,48156.85568,5.13%,32307.14208,3.44%,51093.32132,51095.01463,7.04%,13486.92006,1.44%,936,09:05:17,00:18:40,8520.05,22500.00,7554.45,16074.50,23.45,2.64,,,,,,
62,45,20,2.25,137960,21.14%,238002.1597,36.47%,292446.3126,276560.9828,42.38%,1463840.284,9.42%,924287.1078,64.13%,622443.7823,284934.4643,19.46%,48121.30133,5.13%,33913.04478,3.61%,51084.49923,51092.68409,6.98%,14481.52887,1.54%,936,09:09:44,00:18:49,8589.58,22500.00,8016.94,16606.53,20.92,2.62,,,,,,
63,45,25,1.8,137960,17.61%,274411.1973,35.03%,344356.4165,371034.8446,47.36%,1403567.18,9.83%,933466.5407,68.26%,623025.585,205298.4209,14.63%,51814.45075,5.41%,36423.39804,3.80%,51089.42194,51080.51685,7.28%,24672.28011,2.58%,936,08:47:03,00:19:53,8235.16,22500.00,9607.68,17842.84,15.03,2.73,,,,,,
64,50,5,10,137960,38.98%,138138.6494,39.03%,160442.5685,77809.62753,21.99%,3608102.802,3.82%,889926.4376,27.29%,622165.2382,2383046.012,66.05%,33778.17974,3.43%,28640.48462,2.91%,51164.53996,51168.51021,2.84%,94837.30224,9.63%,936,20:13:39,00:17:44,21070.31,25000.00,4424.77,25495.08,-21.41,1.19,,,,,,
65,50,10,5,137960,32.21%,165359.2759,38.61%,195289.0146,124962.9534,29.18%,2156042.664,6.40%,943617.6213,44.82%,651207.9293,949540.7075,44.04%,43144.44592,4.46%,31468.24047,3.26%,51117.84341,51125.56179,4.74%,22680.9299,2.35%,936,12:07:24,00:18:05,12628.47,25000.00,5303.96,17932.43,14.61,1.98,,,,,,
66,50,15,3.333333333,137960,26.49%,196118.9077,37.66%,235734.4296,186737.0915,35.85%,1737079.82,7.94%,964417.3144,57.17%,651428.1959,503927.0297,29.01%,51626.1099,5.20%,33602.08273,3.38%,51093.80588,51084.32067,5.88%,28597.34922,2.88%,936,09:46:34,00:18:28,10183.45,25000.00,6415.57,16599.02,20.96,2.45,,,,,,
67,50,17,2.941176471,137960,23.73%,209502.6739,36.04%,254224.4787,233790.3515,40.22%,1707623.532,8.08%,966151.8246,59.58%,649645.8114,450054.403,26.36%,52112.55038,5.12%,35648.07247,3.50%,51078.79961,51088.88999,5.98%,51289.61453,5.04%,936,09:36:41,00:18:41,10011.86,25000.00,7148.47,17160.33,18.28,2.50,,,,,,
68,50,19,2.631578947,137960,22.70%,221942.9604,36.52%,271149.7346,247809.2504,40.78%,1596022.848,8.64%,977715.0239,63.57%,648500.4602,341305.4498,21.38%,58505.23755,5.77%,36449.50603,3.59%,51085.40228,51083.30899,6.40%,36873.66299,3.63%,936,08:58:53,00:18:56,9355.61,25000.00,7465.78,16821.39,19.90,2.67,,,,,,
69,50,20,2.5,137960,21.13%,235161.1086,36.02%,289259.1867,279699.6389,42.84%,1628031.818,8.47%,989669.8897,65.60%,658442.9245,319885.0544,19.65%,56500.49846,5.29%,37645.15012,3.52%,51081.30699,51085.82582,6.28%,78349.74094,7.34%,936,09:09:43,00:19:16,9543.69,25000.00,8016.70,17560.39,16.38,2.62,,,,,,
70,50,25,2,137960,18.30%,265048.7398,35.16%,330029.0433,350840.6219,46.54%,1501049.15,9.19%,983083.2813,67.75%,644004.6786,243903.0183,16.25%,59727.36613,5.87%,39487.55,3.88%,51069.09143,51083.26364,6.81%,33950.4953,3.34%,936,08:27:00,00:20:21,8802.08,25000.00,9242.19,18044.27,14.07,2.84,,,,,,

